Month,sharebb_interest
2004-01,25
2004-02,31
2004-03,45
2004-04,23
2004-05,10
2004-06,25
2004-07,48
2004-08,24
2004-09,41
2004-10,37
2004-11,42
2004-12,26
2005-01,11
2005-02,44
2005-03,33
2005-04,26
2005-05,36
2005-06,23
2005-07,37
2005-08,23
2005-09,21
2005-10,33
2005-11,25
2005-12,13
2006-01,24
2006-02,37
2006-03,19
2006-04,16
2006-05,23
2006-06,35
2006-07,11
2006-08,30
2006-09,19
2006-10,24
2006-11,29
2006-12,16
2007-01,29
2007-02,27
2007-03,21
2007-04,23
2007-05,42
2007-06,22
2007-07,35
2007-08,23
2007-09,36
2007-10,28
2007-11,35
2007-12,21
2008-01,30
2008-02,35
2008-03,29
2008-04,32
2008-05,19
2008-06,35
2008-07,40
2008-08,23
2008-09,33
2008-10,34
2008-11,31
2008-12,18
2009-01,23
2009-02,21
2009-03,18
2009-04,19
2009-05,12
2009-06,13
2009-07,8
2009-08,17
2009-09,14
2009-10,18
2009-11,19
2009-12,9
2010-01,16
2010-02,17
2010-03,17
2010-04,16
2010-05,11
2010-06,17
2010-07,11
2010-08,19
2010-09,26
2010-10,19
2010-11,21
2010-12,21
2011-01,15
2011-02,32
2011-03,38
2011-04,22
2011-05,24
2011-06,17
2011-07,23
2011-08,21
2011-09,27
2011-10,25
2011-11,27
2011-12,17
2012-01,31
2012-02,24
2012-03,34
2012-04,23
2012-05,28
2012-06,24
2012-07,22
2012-08,19
2012-09,21
2012-10,26
2012-11,26
2012-12,27
2013-01,24
2013-02,26
2013-03,31
2013-04,32
2013-05,30
2013-06,25
2013-07,21
2013-08,22
2013-09,24
2013-10,30
2013-11,30
2013-12,27
2014-01,25
2014-02,29
2014-03,25
2014-04,29
2014-05,26
2014-06,25
2014-07,25
2014-08,33
2014-09,39
2014-10,34
2014-11,35
2014-12,23
2015-01,25
2015-02,31
2015-03,36
2015-04,31
2015-05,25
2015-06,27
2015-07,26
2015-08,24
2015-09,28
2015-10,37
2015-11,28
2015-12,20
2016-01,28
2016-02,34
2016-03,33
2016-04,32
2016-05,32
2016-06,37
2016-07,30
2016-08,33
2016-09,34
2016-10,33
2016-11,35
2016-12,24
2017-01,24
2017-02,63
2017-03,42
2017-04,37
2017-05,45
2017-06,36
2017-07,47
2017-08,79
2017-09,52
2017-10,67
2017-11,75
2017-12,56
2018-01,50
2018-02,66
2018-03,43
2018-04,38
2018-05,66
2018-06,81
2018-07,100
2018-08,81
2018-09,68
2018-10,88
2018-11,83
2018-12,80
2019-01,86
2019-02,85
2019-03,68
2019-04,86
2019-05,54
2019-06,62
2019-07,52
2019-08,49